Unique Drugs,Unique Targets,Drug Names,Target Name
N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)NCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21,,"D-Myo-Inositol-1,4-Bisphosphate",
Fc1ccc(C2CC3CCC2N3)cc1,,Adriforant,
Brc1ccc(C2CC3CCC2N3)cc1,,(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid,
CCCN1C=CC(C)=C2C(=O)NC(N)N=C21,,"(3S,5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-(4-methylphenyl)-1,6-dioxa-2-azaspiro[4.5]decane-8,9,10-triol",
NC1N=C2C(=CC=CN2Cc2ccccc2)C(=O)N1,,Difenoxin,
CN1C=CC=C2C(=O)NC(N)N=C21,,Procyclidine,
CC1=C2C(=O)NC(N)N=C2N(CCC(C)C)C=C1,,Thymopentin,
CC1=C2C(=O)NC(N)N=C2N(CC(C)C)C=C1,,Valomaciclovir stearate,
CC(C)N1C=CC=C2C(=O)NC(N)N=C21,,Pidolic acid,
CC(C)CN1C=CC=C2C(=O)NC(N)N=C21,,2-Fluoro-2'-Deoxyadenosine,
CC1=CC=C2C(=O)NC(N)N=C2N1C,,"Imino[2-(2-oxo-1,2-dihydro-3-pyridinyl)-1H-benzimidazol-5-yl]methanaminium",
CCN1C=CC=C2C(=O)NC(N)N=C21,,"10-Propargyl-5,8-Dideazafolic Acid",
CCN1C=C(C)C=C2C(=O)NC(N)N=C21,,Cilazapril,
CCCN1C(C)=CC=C2C(=O)NC(N)N=C21,,Pyrimethamine,
CC1=C2C(=O)NC(N)N=C2N(C)C=C1,,Dithioerythritol,
CCCN1C=CC=C2C(=O)NC(N)N=C21,,6-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-(4-MORPHOLINYL)-2-OXO ETHYL]-2-OXO-3-PYRROLIDINYL}-2-NAPHTHALENESULFONAMIDE,
CNC(C)[C@H]1CCC(NC(=O)OCC2c3ccccc3-c3ccc(S(=O)(=O)O)cc32)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,,Liothyronine I-131,
CNC(C)[C@H]1CCC(N)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,,Eletriptan,
N=C(N)NCc1ccc(C2CC/C(=C/I)OC2=O)cc1,,Acetyl Dithranol,
NC(N)=Nc1ccc(C2C/C(=C/I)OC(=O)C2NC(=O)c2ccccc2)cc1,,Isoxicam,
NC(N)=Nc1ccc(C2CC(=O)O/C(=C\I)C2)cc1,,SB-705498,
COc1c2ccoc2cc2oc(=O)cnc12,,Salvinorin A,
CC(=O)Nc1ccc(C[C@@H](NC(=O)[C@H](Cc2ccc(NC(=O)C3CNC(=O)N3)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)cc1,,Pinometostat,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,CA4P,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,UK-432097,
CNC(=O)NCc1ccc(C[C@@H](NC(=O)[C@H](Cc2ccc(NC(=O)[C@H]3CC(=O)NC(=O)N3)cc2)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)cc1,,Dihydrexidine,
CC(=O)Nc1ccc(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(C)=O)C(=O)N[C@@H](Cc2ccc(CNC(N)=O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)cc1,,Posizolid,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,Dactinomycin,
CN(C)C[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,,Gestonorone caproate,
CN(C)C[C@@H](c1ccccc1)[C@@H](O)C(C)(C)C,,Aurothioglucose,
COc1cc2nc(N3CCN(S(=O)(=O)c4nonc4-c4ccccc4)CC3)nc(N)c2cc1OC,,Ciclesonide,
Cc1cc(C)c([C@H](O)[C@@H](CN(C)C)c2ccccc2)c(C)c1,,Valspodar,
COc1ccc([C@H](CN(C)C)[C@@H](O)C2CCCCC2)cc1,,S-Hydroxymethyl Glutathione,
Cc1cn(C)c2cc3c(cc12)N(C(=O)Nc1ccccc1)CC3,,Carboxylic PRPP,
CC[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)O,,(2R)-N-hydroxy-3-naphthalen-2-yl-2-[(naphthalen-2-ylsulfonyl)amino]propanamide,
CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CC2(CCCCC2)SSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,,PF-05175157,
O=C(CCS(=O)(=O)Cc1ccco1)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,,3-Deoxy-D-Glucosamine,
O=C(CCS(=O)Cc1ccco1)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,,(1R)-3-chloro-1-phenylpropan-1-ol,
COc1ccccc1CNCCCCCCNCCCCCCCCCCCNCCCCCCNCc1ccccc1OC,,Dinor-N(Omega)-Hydroxy-L-Arginine,
C=C(NC(=O)c1ccc(/C(=C\CCCCC(=O)O)c2cccnc2)cc1)C(=O)NCCCCC1CCCCC1,,"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",
O=C(O)CCCC/C=C(\c1ccc(-c2nc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)co2)cc1)c1cccnc1,,L-Dilinoleoyllecithin,
CNS(=O)(=O)N1CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,,5-fluoro-beta-L-gulosyl fluoride,
CCC1C2C(=O)c3ccc(O)cc3C1(C)CCN2CC1CC1,,Polythiazide,
O=C1CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,,MK-0354,
O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1C1CCCCC1,,R-9-(2-hydroxypropyl)adenine,
CC(=O)NC1(c2ccccc2)CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,,Mandelic acid,
CC(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](C#N)CCc1ccccc1,,Etonogestrel,
CC(C)CC(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Adenosine,
CSCCC(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}-2-(TRIFLUOROMETHYL)BENZENESULFONAMIDE",
CCCCC(NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Metopimazine,
N=C(N)NCCCC(NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,"3-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-5-METHOXY-1,1'-BIPHENYL-2-OLATE",
CC(C)(C)C(NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Tidiacic arginine,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)O)cc1,,Quercetin-3'-O-phosphate,
Nc1ccc(CC(NC(=O)c2ccc(S(N)(=O)=O)cc2)C(=O)O)cc1,,Deamido-Nad+,
NC(=O)CCC(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Fluclorolone acetonide,
NC(=O)CC(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,2-(3-BENZOYLPHENOXY)ETHYL(HYDROXY)FORMAMIDE,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)N2CCCC2C(=O)O)cc1,,Batimastat,
N=C(N)NCCCC(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Anisomycin,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(CO)C(=O)O)cc1,,Pindolol,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(CCC(=O)O)C(=O)O)cc1,,Zaltoprofen,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccc3ccccc3c2)C(=O)O)cc1,,Deleobuvir,
NS(=O)(=O)c1ccc(C(=O)NC(Cc2ccc(F)cc2)C(=O)O)cc1,,Zn(Ii)-(20-Oxo-Protoporphyrin Ix),
NS(=O)(=O)c1ccc(C(=O)NC(Cc2ccc3ccccc3c2)C(=O)O)cc1,,Desonide,
NS(=O)(=O)c1ccc(C(=O)NC(Cc2ccc([N+](=O)[O-])cc2)C(=O)O)cc1,,R-428,
COc1ccc(CC(NC(=O)c2ccc(S(N)(=O)=O)cc2)C(=O)O)cc1,,"4-(2-(1H-IMIDAZOL-4-YL)ETHYLAMINO)-2-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",
NS(=O)(=O)c1ccc(C(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)cc1,,Phenylalanine,
CC(C)C(NC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Lexacalcitol,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NCC(=O)NC(Cc2ccc3ccccc3c2)C(=O)O)cc1,,Deoxyspergualin,
O=C(O)[C@@H](Cc1c[nH]c2ccccc12)N(C(=O)OCc1ccccc1)C(=O)OCC1c2ccccc2-c2ccccc21,,Fosaprepitant,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccc(F)cc2)C(=O)O)cc1,,2-acetylamino-2-deoxy-b-D-allopyranose,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccc([N+](=O)[O-])cc2)C(=O)O)cc1,,Fluanisone,
COc1ccc(CC(NC(=O)CNC(=O)c2ccc(S(N)(=O)=O)cc2)C(=O)O)cc1,,Nebicapone,
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(CC(=O)O)C(=O)O)cc1,,4-methylthio-2-oxobutanoic acid,
N=C(N)NCCCC(NC(=O)c1ccc2ccc3cccc4ccc1c2c34)C(=O)NCC1OC(OC2C(N)CC(N)C(O)C2O)C(N)C(O)C1O,,Phosphoaspartate,
CC(=O)NC(C(=O)N[C@H](Cc1cc2ccccc2n1C(C)=O)C(=O)N1C(C(=O)N(C)Cc2ccccc2)CC2CCCCC21)C(C)O,,4-Methyl-Pyrroline-5-Carboxylic Acid,
CC(=O)NC(C(=O)N[C@H](Cc1cc2ccccc2n1C(C)=O)C(=O)NC(Cc1ccccc1)C(=O)N(C)Cc1ccccc1)C(C)O,,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",
CC(C)(C)NCC(O)COC(=O)c1cccs1,,Beta-hydroxyfentanyl,
CC/C(C)=N\OCC(O)CNC(C)C,,Fusafungine,
C/C(CCc1ccccc1)=N/OCC(O)CNC(C)C,,"naphthalene-1,2,4,5,7-pentol",
CCC/C(C)=N\OCC(O)CNC(C)(C)C,,2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,
C/C(CCc1ccccc1)=N/OCC(O)CNC(C)(C)C,,(S)-tacrine(10)-hupyridone,
CC(C)NCC(O)COC(=O)C1CCCCC1,,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",
CC(C)NCC(O)COC(=O)Cc1cccs1,,"HYDROXY(OXO)(3-{[(2Z)-4-[3-(1H-1,2,4-TRIAZOL-1-YLMETHYL)PHENYL]PYRIMIDIN-2(5H)-YLIDENE]AMINO}PHENYL)AMMONIUM",
CC(C)NCC(O)COC(=O)C(C)C,,OSI-027,
Cc1ccc(C(=O)NCCCCC(C)NCC(O)c2ccc(O)c(O)c2)cc1,,Cannabinor,
Cc1ccc(NC(=O)NCCCCC(C)NCC(O)c2ccc(O)c(O)c2)cc1,,Phenindione,
CC(CCCCN)NCC(O)c1ccc(O)c(O)c1,,"5-(dodecylthio)-1H-1,2,3-triazole-4-carboxylic acid",
CC(=O)OC[C@H]1C[C@H]2CCCC[C@@H]2[C@@H](/C=C/[C@H]2CCC[C@H](C)N2C)[C@H]1[C@H](C)OC(C)=O,,Masoprocol,
C[C@@H]1O[C@H](O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,,GDC-0810,
C[C@@H]1OC[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]21,,Alprazolam,
CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)C(Cc1nnn[nH]1)c1ccccc1-2,,KW-3433,
C[C@H](O)[C@H]1[C@@H](CO)C[C@H]2CCCC[C@@H]2[C@H]1/C=C/[C@H]1CCC[C@H](C)N1C,,Prostalene,
CC(C)n1cc2c3c(cccc31)[C@H]1C[C@@H](C)CN(C)[C@@H]1C2,,Cinolazepam,
CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(=O)oc2cc(OC)ccc12)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O,,(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CCSSC[C@@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CCC(N)=O)NC1=O,,N-[3-(1H-BENZIMIDAZOL-2-YL)-1H-PYRAZOL-4-YL]BENZAMIDE,
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CCSSC[C@@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CCC(N)=O)NC1=O,,Nelotanserin,
CC(C)n1cc2c3c(cccc31)C1=C[C@@H](CO)CN(C)[C@@H]1C2,,Natamycin,
CC(C)n1cc2c3c(cccc31)[C@H]1C=C(CO)CN(C)[C@@H]1C2,,Ketamine,
CC1=C[C@@H]2c3cccc4c3c(cn4C(C)C)C[C@H]2N(C)C1,,Phloroglucinol,
CC(C)n1cc2c3c(cccc31)[C@H]1C[C@@H](CO)CN(C)[C@@H]1C2,,(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate,
CC(=O)N1CC=C[C@H]1C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)O,,Cenobamate,
O=C(O)CC/C=C\CO[C@@H]1[C@@H](OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCC1,,2-{[2-Oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1H)-pyrimidinone,
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3CCO)cc2)CC[C@@H]1N1CCCCCC1,,N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE,
CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(N)=O)c1cccnc1)c1cccnc1,,"4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium",
CNS(=O)(=O)Cc1ccc(-c2ccc(COC3CC[C@H](N4CCCCCC4)[C@H]3OC/C=C\CCC(=O)O)cc2)cc1,,CG-200745,
NC(=O)Cc1ccc(-c2ccc(COC3CC[C@H](N4CCCCCC4)[C@H]3OC/C=C\CCC(=O)O)cc2)cc1,,Cyclo(his-pro),
NC(=O)Cc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Taurine,
NC(=O)c1ccc(-c2ccc(COC3CC[C@H](N4CCCCCC4)[C@H]3OC/C=C\CCC(=O)O)cc2)cc1,,"6-amino-2-[(2-morpholin-4-ylethyl)amino]-3,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3cccc(CO)c3)cc2)CC[C@@H]1N1CCCCCC1,,Nalorphine,
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3ccccc3CO)cc2)CC[C@@H]1N1CCCCCC1,,Capecitabine,
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3cccc(CO)c3)cc2)CC[C@@H]1N1CCCCCC1,,DECANE-1-THIOL,
CS(=O)(=O)Nc1cccc(-c2ccc(COC3CC[C@H](N4CCCCCC4)[C@H]3OC/C=C\CCC(=O)O)cc2)c1,,Trenbolone acetate,
CS(=O)(=O)Nc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID",
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccc(O)cc3)cc2)CC[C@@H]1N1CCCCCC1,,AGG-523,
NC(=O)Nc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Hydroquinone,
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCCC1,,Metipranolol,
NC(=O)c1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Isopropyl beta-D-thiogalactopyranoside,
CS(=O)(=O)Nc1ccccc1-c1ccc(CO[C@H]2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Fidaxomicin,
CC(=O)NCc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Nicotinamide riboside,
CCCCC/C=C/Cc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Nandrolone hydrogen sulfate,
CCCCC/C=C/c1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Methyldopa,
CC1=CCC2C(C1)c1c(O)cc(C/C=C/CCCO)cc1OC2(C)C,,Dutogliptin,
CC1=CCC2C(C1)c1c(O)cc(C/C=C/CCCC[N+](=O)[O-])cc1OC2(C)C,,Chlorsulfaquinoxaline,
COC(=O)C#CCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Thiocolchicoside,
CC1=CCC2C(C1)c1c(O)cc(CC#CCCC[N+](=O)[O-])cc1OC2(C)C,,3-hydroxyanthranilic acid,
CC1=CCC2C(C1)c1c(O)cc(CC#CCCC#N)cc1OC2(C)C,,Penamecillin,
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3O)cc2)CC[C@@H]1N1CCCCCC1,,Nelfinavir,
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCCC1,,Vaborbactam,
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3ccc(CO)cc3)cc2)CC[C@@H]1N1CCCCCC1,,O-acetyl-L-serine,
C#CCCCC#CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,SCY-635,
CC1=CCC2C(C1)c1c(O)cc(CC#CC(C)Br)cc1OC2(C)C,,Uric acid,
CC(=O)NCCC#CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,4-phospho-L-threonic acid,
CNS(=O)(=O)Cc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,,Piperidione,
CC(=O)NCc1ccc(-c2ccc(COC3CC[C@H](N4CCCCCC4)[C@H]3OC/C=C\CCC(=O)O)cc2)cc1,,"N-alpha-Acetyl-3,5-diiodotyrosyl-D-threonine",
CCCC/C=C/CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,AMG-131,
CC1=CCC2C(C1)c1c(O)cc(CC#CCCO)cc1OC2(C)C,,N-(indole-3-acetyl)-L-aspartic acid,
CC1=CCC2C(C1)c1c(O)cc(CC#CCCCN)cc1OC2(C)C,,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,
CC1=CCC2C(C1)c1c(O)cc(C=C=CCCCC(=O)O)cc1OC2(C)C,,Verinurad,
CC1=CCC2C(C1)c1c(O)cc(C/C=C/CCCF)cc1OC2(C)C,,Iocetamic acid,
CCCCCC#CCc1cc(OC)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Meprednisone acetate,
C#CCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Melatonin,
CCCCCCC#CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Pimecrolimus,
COC(=O)C#CCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,(S)-atrolactic acid,
CC1=CCC2C(C1)c1c(O)cc(C#CCCCC#N)cc1OC2(C)C,,S-(Methylmercury)-L-Cysteine,
CC1=CCC2C(C1)c1c(O)cccc1OC2(C)C,,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,
CCCCCC#Cc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,"REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE",
CC1=CCC2C(C1)c1c(O)cc(CC#CCCCBr)cc1OC2(C)C,,"2,3-DIMETHOXY-12H-[1,3]DIOXOLO[5,6]INDENO[1,2-C]ISOQUINOLIN-6-IUM",
C#CCCCC#Cc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,,Des(carbamimidoyl) zanamivir,
CC1=CCC2C(C1)c1c(O)cc(C/C=C/CCCBr)cc1OC2(C)C,,"4-(2-AMINOETHOXY)-3,5-DICHLORO-N-[3-(1-METHYLETHOXY)PHENYL]BENZAMIDE",
CC1(C)CCC(C)(C)c2cc(C/C=C/c3ccc(C(=O)O)cc3)ccc21,,"4-[(3R)-3-Amino-4-(2,4,5-trifluorophenyl)butanoyl]-3-(2,2,2-trifluoroethyl)-1,4-diazepan-2-one",
O=c1c(O)c(-c2ccc(Cl)cc2Cl)oc2cc(O)cc(O)c12,,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",
COc1ccccc1CNCCCCCNCCCCCCCCNCCCCCNCc1ccccc1OC,,(South)-Methanocarba-Thymidine,
Cc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1C,,Cytidyl-2'-5'-phospho-guanosine,
Clc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1Cl,,Lixivaptan,
Cc1ccc(CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccc(C)cc2)cc1,,"(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE",
COc1ccccc1CNCCCCCCCNCCCCCCCCNCCCCCCCNCc1ccccc1OC,,Benoxaprofen,
COc1cccc(CNCCCCCCNCCCCCCCCNCCCCCCNCc2cccc(OC)c2)c1,,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",
Fc1ccc(CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccc(F)cc2)cc1,,Edasalonexent,
